X,Y,fingerMag
0.4,3.4,61.641131
0.4,3.5,60.609663
0.4,3.6,59.597793
0.4,3.7,58.619609
0.4,3.8,57.689185
0.4,3.9,56.819923
0.4,4.1,56.024308
0.4,4.2,55.314760
0.4,4.3,54.703700
0.4,4.4,54.203548
0.4,4.5,53.826724
0.4,4.6,53.585093
0.4,4.7,53.477746
0.4,4.8,53.491024
0.4,4.9,53.610713
0.4,5.0,53.822600
0.4,5.1,54.112471
0.4,5.2,54.466113
0.4,5.3,54.869313
0.4,5.4,55.307857
0.4,5.5,55.768165
0.4,5.6,56.244910
0.4,5.7,56.738560
0.4,5.8,57.249701
0.4,5.9,57.778919
0.4,6.0,58.326801
0.4,6.1,58.893934
0.4,6.2,59.480904
0.4,6.3,60.088297
0.4,6.4,60.716698
0.4,6.5,61.365671
0.4,6.6,62.032247
0.4,6.7,62.713068
0.4,6.8,63.404778
0.4,6.9,64.104018
0.4,7.0,64.807431
0.4,7.1,65.511659
0.4,7.2,66.213346
0.4,7.3,66.909134
0.4,7.4,67.595665
0.4,7.5,68.269582
0.4,7.6,68.927527
0.4,7.7,69.566144
0.4,7.8,70.182074
0.4,7.9,70.771960
0.4,8.0,71.332445
0.5,0.0,58.979762
0.5,0.1,60.124547
0.5,0.2,61.035098
0.5,0.3,61.745115
0.5,0.4,62.288296
0.5,0.5,62.698340
0.5,0.6,63.008947
0.5,0.7,63.253815
0.5,0.8,63.466643
0.5,0.9,63.681131
0.5,1.0,63.930976
0.5,1.1,64.249878
0.5,1.2,64.671537
0.5,1.3,65.229650
0.5,1.4,65.957361
0.5,1.5,66.845318
0.5,1.6,67.812436
0.5,1.7,68.770716
0.5,1.8,69.632161
0.5,1.9,70.310351
0.5,2.0,70.765609
0.5,2.1,71.011661
0.5,2.2,71.065152
0.5,2.3,70.942726
0.5,2.4,70.661029
0.5,2.5,70.236705
0.5,2.6,69.686399
0.5,2.7,69.026755
0.5,2.8,68.273865
0.5,2.9,67.440874
0.5,3.0,66.539946
0.5,3.1,65.583248
0.5,3.2,64.582943
0.5,3.3,63.551197
0.5,3.4,62.500176
0.5,3.5,61.442043
0.5,3.6,60.388964
0.5,3.7,59.353104
0.5,3.8,58.346682
0.5,3.9,57.384250
0.5,4.1,56.483529
0.5,4.2,55.662467
