acceX,acceY,acceZ,x2,y2,z2,sum,sqrt
-0.31863403,-0.8451233,5.3476563,0.101527645,0.714233392,28.5974279,29.41318894,5.423392752
0.10951233,-0.12516785,3.6896515,0.01199295,0.015666991,13.61352819,13.64118813,3.693397911
0.55158997,-0.21272278,5.3441467,0.304251495,0.045250981,28.55990395,28.90940643,5.376746826
0.34623718,-0.5915222,9.244339,0.119880185,0.349898513,85.45780355,85.92758224,9.26971317
2.3908234,0.47827148,14.030045,5.71603653,0.228743609,196.8421627,202.7869428,14.24032805
0.34623718,-0.5915222,9.244339,0.119880185,0.349898513,85.45780355,85.92758224,9.26971317
1.5392456,-0.13279724,13.219955,2.369277017,0.017635107,174.7672102,177.1541223,13.30992571
1.2502594,-0.6257782,17.915192,1.563148567,0.391598356,320.9541044,322.9088513,17.96966475
1.0514221,-1.1226959,9.024628,1.105488432,1.260446084,81.44391054,83.80984505,9.15477171
-0.6097717,0.122543335,4.232971,0.371821526,0.015016869,17.91804349,18.30488188,4.278420489
0.25489807,-1.4680786,6.4262085,0.064973026,2.155254776,41.29615569,43.51638349,6.596694891
-0.49223328,-0.69807434,5.1853027,0.242293602,0.487307784,26.88736409,27.61696548,5.255184628
-0.5047302,0.25932312,6.6385956,0.254752575,0.067248481,44.07095154,44.3929526,6.662803659
-0.027770996,0.32695007,11.633377,0.000771228,0.106896348,135.3354604,135.443128,11.63800361
1.5090027,0.033111572,16.913177,2.277089149,0.001096376,286.0555562,288.3337418,16.98039286
-0.027770996,0.32695007,11.633377,0.000771228,0.106896348,135.3354604,135.443128,11.63800361
1.2731934,-0.7246704,17.931503,1.621021434,0.525147189,321.5387998,323.6849685,17.991247
2.7809296,-0.5096741,9.794998,7.73356944,0.259767688,95.94198582,103.9353229,10.19486748
0.7915344,-1.052124,6.86911,0.626526706,1.106964911,47.18467219,48.91816381,6.994152115
-0.16567993,-0.31860352,4.782135,0.027449839,0.101508203,22.86881516,22.9977732,4.795599358
0.46047974,0.4374237,3.0634766,0.212041591,0.191339493,9.384888879,9.788269963,3.128621096
0.49839783,-0.13442993,5.9673004,0.248400397,0.018071406,35.60867406,35.87514587,5.989586452
0.81674194,-0.21684265,12.262741,0.667067397,0.047020735,150.3748168,151.088905,12.29182269
2.8993073,0.1490326,16.14093,8.40598282,0.022210716,260.5296213,268.9578148,16.39993338
2.8993073,0.1490326,16.14093,8.40598282,0.022210716,260.5296213,268.9578148,16.39993338
0.45018005,-0.8136749,17.39096,0.202662077,0.662066843,302.4454897,303.3102186,17.4158037
1.4163055,-0.2066803,10.157913,2.005921269,0.042716746,103.1831965,105.2318345,10.2582569
0.4473114,-0.6951599,7.176605,0.200087489,0.483247287,51.50365933,52.1869941,7.224056624
-0.30192566,-0.5383911,5.60376,0.091159104,0.289864977,31.40212614,31.78315022,5.637654674
-0.0776062,0.19012451,3.8684998,0.006022722,0.036147329,14.9652907,15.00746075,3.873946406
0.102249146,0.1799469,4.4770203,0.010454888,0.032380887,20.04371077,20.08654654,4.481801707
-0.17778015,0.13720703,9.238327,0.031605782,0.018825769,85.34668576,85.39711731,9.241056071
-0.17778015,0.13720703,9.238327,0.031605782,0.018825769,85.34668576,85.39711731,9.241056071
0.30549622,0.736969,14.197327,0.09332794,0.543123307,201.5640939,202.2005452,14.21972381
1.1340027,-0.29125977,19.442245,1.285962124,0.084832254,378.0008906,379.371685,19.47746608
2.9811401,-0.043792725,14.490921,8.887196296,0.001917803,209.9867914,218.8759055,14.79445523
2.1820068,-0.88560486,8.397644,4.761153675,0.784295968,70.52042475,76.06587439,8.721575224
0.7574158,-0.7233887,5.7186127,0.573678694,0.523291211,32.70253121,33.79950112,5.813733836
0.007659912,-0.19815063,3.6743164,5.87E-05,0.039263672,13.50060101,13.53992335,3.679663484
0.70266724,0.24017334,3.2776184,0.49374125,0.057683233,10.74278238,11.29420686,3.360685475
-0.2626953,-0.5619354,8.234146,0.069008821,0.315771394,67.80116035,68.18594056,8.257477857
1.4113922,0.19520569,11.455261,1.992027942,0.038105261,131.2230046,133.2531378,11.54353229
1.4113922,0.19520569,11.455261,1.992027942,0.038105261,131.2230046,133.2531378,11.54353229
